,delta_ec,theta_ec,alpha_ec,beta_ec,gamma_ec,delta_eo,theta_eo,alpha_eo,beta_eo,gamma_eo,group
sub-036,2.220666359298709e-09,3.066912414645076e-09,4.190454863818747e-09,2.491845464110181e-10,4.390388695388507e-11,1.6436242780632079e-09,1.8269346673817508e-09,3.139141344128047e-09,2.106366782470637e-10,4.373284954773611e-11,c
sub-037,2.4831009612810256e-09,2.0327354913331804e-09,1.7996691881140077e-09,1.4796679786706195e-10,6.513177618722454e-11,1.4494120445860393e-09,1.077958942598499e-09,1.0702062746127356e-09,9.975664040822273e-11,4.2320884982586306e-11,e
sub-038,1.4900722865966802e-09,1.3036089598457372e-09,3.6576041783478394e-09,2.2727119855010666e-10,2.833506202282433e-11,1.3703389503684892e-09,1.1182192002304292e-09,2.9475217373187334e-09,2.361797286919467e-10,3.7416944240892234e-11,e
sub-039,7.143657174656723e-10,2.9609222066512985e-10,7.840298764679889e-10,3.721744123909929e-11,1.2015818117351571e-11,7.173864949356298e-10,2.203713025578288e-10,1.4605605358614755e-10,3.237632517472647e-11,1.4370694275845263e-11,e
sub-040,4.1097076645750865e-09,1.2064256523261762e-09,1.3827374325245127e-09,4.97618068079494e-10,1.1098636948327724e-10,4.234191728811427e-09,1.081333824563085e-09,1.630083511926797e-09,5.121965200733986e-10,1.662793665417702e-10,c
sub-041,3.3497118701910447e-09,4.464038270075327e-09,4.585238610840614e-09,1.991806122307868e-10,3.9414232122993734e-11,2.1783580667019004e-09,1.5546805831230385e-09,1.9112260902944833e-09,1.50623950537776e-10,9.432685595141593e-11,c
sub-043,9.13631776264291e-10,2.3216808055326483e-10,5.815082202424226e-10,7.333124369670308e-11,3.0812293051181626e-11,8.638641061871884e-10,2.1715845655141668e-10,3.7104820014584634e-10,6.68133068675295e-11,2.257260406615733e-11,c
sub-044,1.3127403095411467e-09,9.498348126002995e-10,3.9747133058118144e-09,2.3502653800581427e-10,2.7957961298863776e-11,1.1860791878393106e-09,3.6649547023084854e-10,4.845473768496684e-10,1.3621779640957415e-10,4.3731484842936604e-11,c
sub-045,1.689696330297674e-09,6.134124671341426e-10,3.3606583414267503e-10,1.0330379754882169e-10,2.9036152859828752e-11,1.9264517470242672e-09,6.303896319644366e-10,2.9931473948251896e-10,1.0756966798597297e-10,3.466880133794899e-11,e
sub-046,2.458944342929067e-09,8.797826967790331e-10,1.8195809339553846e-09,1.3860088442876368e-10,2.3473035428654876e-11,1.3766035866839736e-09,5.485138123642537e-10,1.497815156005599e-09,1.46473448625895e-10,3.581326450157833e-11,e
sub-048,1.2260437681325474e-09,5.027746002096143e-10,3.1476048114638598e-09,1.4728932170056848e-10,4.0323203358353495e-11,1.0922912524066766e-09,3.1677532264766835e-10,7.123849006388399e-10,1.1479425746551486e-10,4.421882691928185e-11,e
sub-049,1.8527460260984318e-09,8.619944708707089e-10,8.214738251355002e-09,2.6488858182937805e-10,4.6065960740404135e-11,1.7223510105781127e-09,6.319711024276564e-10,8.62277986800297e-10,1.3000028772885185e-10,4.381530552711633e-11,c
sub-050,2.1243648179379304e-09,4.6280741184090004e-10,9.80606385357919e-10,1.97726123227496e-10,3.2023227312206286e-11,2.2400195836164585e-09,5.180652617734179e-10,3.697504761522056e-10,1.5478505398206591e-10,1.9688775404212607e-11,e
sub-051,7.105776348983508e-10,2.3587349785888803e-10,1.8769208719257654e-10,3.9719653443677715e-11,9.299284327317879e-12,7.325518566651781e-10,1.9719185912174877e-10,9.341936271815847e-11,3.198600790259491e-11,1.149954271964247e-11,c
sub-053,1.2221740302331095e-09,4.5588528708807136e-10,1.029159809071962e-09,8.167586675577144e-11,2.7733831093713714e-11,1.4891577320379045e-09,4.045626138508046e-10,3.652898942481604e-10,7.356993758617843e-11,2.5371540580565927e-11,c
sub-055,1.498329282322488e-09,3.62291334464265e-10,2.685465038489249e-10,1.4253923483781866e-10,1.92608531901947e-11,1.3710846639740055e-09,3.2483522852840427e-10,2.3387559117207473e-10,1.2349990740339512e-10,2.4781123626852515e-11,e
sub-056,1.718860641525775e-09,5.60652232760964e-10,1.5873737642799029e-09,9.836396512570943e-11,2.6555851016511028e-11,1.8177229191780918e-09,5.420500243083386e-10,2.9437078950753713e-10,9.321468813172686e-11,2.968172888104616e-11,c
